id_cuartel;Lote;Cuartel;plantas;Hectareas;Calles;Hileras;estado
;2;1;;2.54;46;47;1
;2;4;;2.56;46;47;1
;2;5;;4.02;46;47;1
;2;8;;4.02;46;47;1
;2;9;;4.02;46;47;1
;3;2;;4.86;45;46;1
;3;6;;3.79;45;46;1
;3;7;;3.79;45;46;1
;3;10;;3.81;45;46;1
;3;23;;2.62;39;40;1
;5;21;;4.17;52;54;1
;5;22;;4.17;52;54;1
;5;26;;4.34;52;54;1
;5;27;;4.34;52;54;1
;6;11;;4.02;52;54;1
;6;14;;4.02;52;54;1
;6;15;;4.01;52;54;1
;6;18;;2.56;52;54;1
;6;19;;2.54;52;54;1
;7;12;;4.01;52;54;1
;7;13;;4.01;52;54;1
;7;16;;4.01;52;54;1
;7;17;;2.54;52;54;1
;7;20;;2.54;52;54;1
;8;28;;1.68;27;28;1
;8;29;;1.68;27;28;1
;8;30;;2.23;27;28;1
;8;31;;2.15;27;28;1
;8;32;;1.32;27;28;1
;8;33;;1.32;27;28;1
;8;34;;1.4;27;28;1
;8;35;;1.39;27;28;1
;8;36;;1.4;27;28;1
;8;37;;1.39;27;28;1
;9;28;;1.68;27;28;1
;9;29;;1.68;27;28;1
;9;30;;2.23;27;28;1
;9;31;;2.15;27;28;1
;9;32;;1.32;27;28;1
;9;33;;1.32;27;28;1
;9;34;;1.4;27;28;1
;9;35;;1.39;27;28;1
;9;36;;1.4;27;28;1
;9;37;;1.39;27;28;1
;91;1;;1.7;37;38;1
;91;2;;1.7;37;38;1
;93;1;;2.72;32;33;1
;93;2;;2.72;32;33;1
;93;3;;1.72;37;38;1
;93;4;;0.97;37;38;1
;18;1;;5.31;46;47;1
;18;2;;4.31;46;47;1
;18;3;;4.44;46;47;1
;18;4;;1.32;46;47;1
;19;1;;5.31;46;47;1
;19;2;;4.31;46;47;1
;19;3;;4.44;46;47;1
;19;4;;1.35;46;47;1
;20;1;;10.62;93;94;1
;20;2;;8.62;93;94;1
;20;3;;8.88;93;94;1
;20;4;;1.59;93;94;1
;22;1;;10.62;93;94;1
;22;2;;8.62;93;94;1
;22;3;;8.82;93;94;1
;22;4;;3.32;93;94;1
;30;1;;11.14;93;94;1
;30;2;;9.49;93;94;1
;30;3;;10.64;93;94;1
;50;A;;4.85;55;56;1
