;;;;;;;;;;;;;;
FECHA;TAREA;SUPERVISOR;OPERADOR;REFERENCIA;ESTADO_FENOLOGICO;FRANJA;LOTE;CUARTEL;CALLE;HAS_CALLE;AGUA;TAREA_DETALLE;PRODUCTO;CANTIDAD
6/06/2023;1;;;;;;30;E-1;1-11;1.32;1980;1;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;1;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;2;;;;;;30;E-1;12-22;1.32;1980;2;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;2;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;3;;;;;;30;E-1;23-33;1.32;1980;3;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;3;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;4;;;;;;30;E-1;34-44;1.32;1980;4;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;4;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;5;;;;;;30;E-1;45-55;1.32;1980;5;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;5;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;6;;;;;;30;E-1;56-66;1.32;1980;6;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;6;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;7;;;;;;30;E-1;67-77;1.32;1980;7;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;7;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;8;;;;;;30;E-1;78-88;1.32;1980;8;THIAMETHOXAM VIVORAL 25 WG;1.19
;;;;;;;;;;;;8;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.16
6/06/2023;9;;;;;;30;E-1;89-93;0.58;870;9;THIAMETHOXAM VIVORAL 25 WG;0.52
;;;;;;;;;;;;9;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.07
6/06/2023;10;;;;;;30;E-2;1-11;0.753;1130;10;THIAMETHOXAM VIVORAL 25 WG;0.68
;;;;;;;;;;;;10;POLYETHER-POLYMETHYLSILOXANO MAXI COVER;0.09
