ID;FENOLOGIA
1;DORMANCIA
2;PUNTA VERDE
3;BROTE 2 CM
4;BROTE 4 CM
5;BROTE 4.36 CM
6;BROTE 4.8 CM
7;BROTE 5 CM
8;BROTE 5.1 CM
9;BROTE 5.2 CM
10;BROTE 5.3 CM
11;BROTE 5.4 CM
12;BROTE 5.5 CM
13;BROTE 5.6 CM
14;BROTE 5.7 CM
15;BROTE 5.8 CM
16;BROTE 5.9 CM
17;BROTE 6 CM
18;BROTE 6.1 CM
19;BROTE 6.2 CM
20;BROTE 6.3 CM
21;BROTE 6.4 CM
22;BROTE 6.5 CM
23;BROTE 6.6 CM
24;BROTE 6.7 CM
25;BROTE 6.8 CM
26;BROTE 6.9 CM
27;BROTE 7 CM
28;BROTE 7.1 CM
29;BROTE 7.2 CM
30;BROTE 7.3 CM
31;BROTE 7.4 CM
32;BROTE 7.5 CM
33;BROTE 7.6 CM
34;BROTE 7.7 CM
35;BROTE 7.8 CM
36;BROTE 7.9 CM
37;BROTE 8 CM
38;BROTE 8.1 CM
39;BROTE 8.2 CM
40;BROTE 8.3 CM
41;BROTE 8.4 CM
42;BROTE 8.5 CM
43;BROTE 8.6 CM
44;BROTE 8.7 CM
45;BROTE 8.8 CM
46;BROTE 8.9 CM
47;BROTE 9 CM
48;BROTE 9.1 CM
49;BROTE 9.2 CM
50;BROTE 9.3 CM
51;BROTE 9.4 CM
52;BROTE 9.5 CM
53;BROTE 9.6 CM
54;BROTE 9.7 CM
55;BROTE 9.8 CM
56;BROTE 9.9 CM
57;BROTE 10 CM
58;BROTE 10.1 CM
59;BROTE 10.2 CM
60;BROTE 10.3 CM
61;BROTE 10.4 CM
62;BROTE 10.5 CM
63;BROTE 10.6 CM
64;BROTE 10.7 CM
65;BROTE 10.8 CM
66;BROTE 10.9 CM
67;BROTE 11 CM
68;BROTE 11.1 CM
69;BROTE 11.2 CM
70;BROTE 11.3 CM
71;BROTE 11.4 CM
72;BROTE 11.5 CM
73;BROTE 11.6 CM
74;BROTE 11.7 CM
75;BROTE 11.8 CM
76;BROTE 11.9 CM
77;BROTE 12 CM
78;BROTE 12.1 CM
79;BROTE 12.2 CM
80;BROTE 12.3 CM
81;BROTE 12.4 CM
82;BROTE 12.5 CM
83;BROTE 12.6 CM
84;BROTE 12.7 CM
85;BROTE 12.8 CM
86;BROTE 12.9 CM
87;BROTE 13 CM
88;BROTE 13.1 CM
89;BROTE 13.2 CM
90;BROTE 13.3 CM
91;BROTE 13.4 CM
92;BROTE 13.5 CM
93;BROTE 13.6 CM
94;BROTE 13.7 CM
95;BROTE 13.8 CM
96;BROTE 13.9 CM
97;BROTE 14 CM
98;BROTE 14.1 CM
99;BROTE 14.2 CM
100;BROTE 14.3 CM
101;BROTE 14.4 CM
102;BROTE 14.5 CM
103;BROTE 14.6 CM
104;BROTE 14.7 CM
105;BROTE 14.8 CM
106;BROTE 14.9 CM
107;BROTE 15 CM
108;BROTE 15.1 CM
109;BROTE 15.2 CM
110;BROTE 15.3 CM
111;BROTE 15.4 CM
112;BROTE 15.5 CM
113;BROTE 15.6 CM
114;BROTE 15.7 CM
115;BROTE 15.8 CM
116;BROTE 15.9 CM
117;BROTE 16 CM
118;BROTE 16.1 CM
119;BROTE 16.2 CM
120;BROTE 16.3 CM
121;BROTE 16.4 CM
122;BROTE 16.5 CM
123;BROTE 16.6 CM
124;BROTE 16.7 CM
125;BROTE 16.8 CM
126;BROTE 16.9 CM
127;BROTE 17 CM
128;BROTE 17.1 CM
129;BROTE 17.2 CM
130;BROTE 17.3 CM
131;BROTE 17.4 CM
132;BROTE 17.5 CM
133;BROTE 17.6 CM
134;BROTE 17.7 CM
135;BROTE 17.8 CM
136;BROTE 17.9 CM
137;BROTE 18 CM
138;BROTE 18.1 CM
139;BROTE 18.2 CM
140;BROTE 18.3 CM
141;BROTE 18.4 CM
142;BROTE 18.5 CM
143;BROTE 18.6 CM
144;BROTE 18.7 CM
145;BROTE 18.8 CM
146;BROTE 18.9 CM
147;BROTE 19 CM
148;BROTE 19.1 CM
149;BROTE 19.2 CM
150;BROTE 19.3 CM
151;BROTE 19.4 CM
152;BROTE 19.5 CM
153;BROTE 19.6 CM
154;BROTE 19.7 CM
155;BROTE 19.8 CM
156;BROTE 19.9 CM
157;BROTE 20 CM
158;BROTE 20.1 CM
159;BROTE 20.2 CM
160;BROTE 20.3 CM
161;BROTE 20.4 CM
162;BROTE 20.5 CM
163;BROTE 20.6 CM
164;BROTE 20.7 CM
165;BROTE 20.8 CM
166;BROTE 20.9 CM
167;BROTE 21 CM
168;BROTE 21.1 CM
169;BROTE 21.2 CM
170;BROTE 21.3 CM
171;BROTE 21.4 CM
172;BROTE 21.5 CM
173;BROTE 21.6 CM
174;BROTE 21.7 CM
175;BROTE 21.8 CM
176;BROTE 21.9 CM
177;BROTE 22 CM
178;BROTE 22.1 CM
179;BROTE 22.2 CM
180;BROTE 22.3 CM
181;BROTE 22.4 CM
182;BROTE 22.5 CM
183;BROTE 22.6 CM
184;BROTE 22.7 CM
185;BROTE 22.8 CM
186;BROTE 22.9 CM
187;BROTE 23 CM
188;BROTE 23.1 CM
189;BROTE 23.2 CM
190;BROTE 23.3 CM
191;BROTE 23.4 CM
192;BROTE 23.5 CM
193;BROTE 23.6 CM
194;BROTE 23.7 CM
195;BROTE 23.8 CM
