MAQUINARIA;DENOMINACIÓN
1;TRACTOR UNIVERSAL 1 denominación ññ
2;TRACTOR UNIVERSAL 2
3;TRACTOR UNIVERSAL 3
4;TRACTOR UNIVERSAL 4
5;TRACTOR UNIVERSAL 5
6;TRACTOR UNIVERSAL 6
7;TRACTOR UNIVERSAL 7
8;TRACTOR UNIVERSAL 8
9;TRACTOR UNIVERSAL 9
10;TRACTOR UNIVERSAL 10
11;TRACTOR UNIVERSAL 11
12;TRACTOR UNIVERSAL 12
13;TRACTOR UNIVERSAL 13
14;TRACTOR UNIVERSAL 14
15;TRACTOR UNIVERSAL 15
101;TRACTOR YAGMUR 101
102;TRACTOR YAGMUR 102
103;TRACTOR YAGMUR 103
104;TRACTOR YAGMUR 104
105;TRACTOR YAGMUR 105
106;TRACTOR YAGMUR 106
107;TRACTOR YAGMUR 107
108;TRACTOR YAGMUR 108
109;TRACTOR YAGMUR 109
110;TRACTOR YAGMUR 110
111;TRACTOR YAGMUR 111
112;TRACTOR YAGMUR 112
113;TRACTOR YAGMUR 113
115;TRACTOR YAGMUR 115
116;TRACTOR YAGMUR 116
117;TRACTOR YAGMUR 117
200;TRACTOR NEW HOLLAND 200
201;TRACTOR NEW HOLLAND 201
202;TRACTOR NEW HOLLAND 202
203;TRACTOR NEW HOLLAND 203
204;TRACTOR NEW HOLLAND 204
205;TRACTOR NEW HOLLAND 205
206;TRACTOR NEW HOLLAND 206
207;TRACTOR NEW HOLLAND 207
208;TRACTOR NEW HOLLAND 208
209;TRACTOR NEW HOLLAND 209
210;TRACTOR NEW HOLLAND 210
211;TRACTOR NEW HOLLAND 211
212;TRACTOR NEW HOLLAND 212
213;TRACTOR NEW HOLLAND 213
214;TRACTOR NEW HOLLAND 214
CISTERNA;CAMION INTERNATIONAL F6W-838
CISTERNA 2;CAMION INTERNATIONAL C5V-891
--;SEMI REMOLQUE
118;TRACTOR YAGMUR 118
119;TRACTOR YAGMUR 119
120;TRACTOR YAGMUR 120
121;TRACTOR YAGMUR 121
122;TRACTOR YAGMUR 122
123;TRACTOR YAGMUR 123
124;TRACTOR YAGMUR 124
125;TRACTOR YAGMUR 125
126;TRACTOR YAGMUR 126
300;TRACTOR MASSEY FERGUSON N° 300
301;TRACTOR MASSEY FERGUSON N° 301
302;TRACTOR MASSEY FERGUSON N° 302
127;TRACTOR YAGMUR AGRIFARM 127
128;TRACTOR YAGMUR AGRIFARM 128
129;TRACTOR YAGMUR AGRIFARM 129
130;TRACTOR YAGMUR AGRIFARM 130
131;TRACTOR YAGMUR AGRIFARM 131
132;TRACTOR YAGMUR AGRIFARM 132
133;TRACTOR YAGMUR AGRIFARM 133
134;TRACTOR YAGMUR AGRIFARM 134
135;TRACTOR YAGMUR AGRIFARM 135
136;TRACTOR YAGMUR AGRIFARM 136
137;TRACTOR YAGMUR AGRIFARM 137
138;TRACTOR YAGMUR AGRIFARM 138
139;TRACTOR YAGMUR AGRIFARM 139
140;TRACTOR YAGMUR AGRIFARM 140
141;TRACTOR YAGMUR AGRIFARM 141
142;TRACTOR YAGMUR AGRIFARM 142
143;TRACTOR YAGMUR AGRIFARM 143
144;TRACTOR YAGMUR AGRIFARM 144
145;TRACTOR YAGMUR AGRIFARM 145
146;TRACTOR YAGMUR AGRIFARM 146
147;TRACTOR YAGMUR AGRIFARM 147
148;TRACTOR YAGMUR AGRIFARM 148
